"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"5","5","0.01","1e-08","0.52523","0.5","0.00948","0.0186","0.62043","0.0","0.0","0.0","0.6715739999999999","0.0004589656940000004"
"5","5","0.001","1e-08","0.79596","0.7399","0.76333","0.75144","0.6176","0.66667","0.5","0.57143","0.5488369999999999","3.798361099999998e-05"
"5","5","0.0001","1e-08","0.55666","0.43188","0.6971","0.53333","0.57758","0.49206","0.67391","0.56881","0.692957","1.315621000000016e-06"
"5","5","1e-05","1e-08","0.54228","0.0","0.0","0.0","0.5688","0.0","0.0","0.0","0.694745","1.4024150000000118e-06"
"5","7","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6938625","5.003874999999637e-08"
"5","7","0.001","0.001","0.5","0.48833","1.0","0.65622","0.5","0.47423","1.0","0.64336","0.6931970000000001","2.3051000000001243e-08"
"5","7","0.0001","0.001","0.53868","0.50417","1.0","0.67036","0.65455","0.56701","1.0","0.72368","0.6931940000000001","1.7153999999997938e-08"
"5","7","1e-05","0.001","0.52497","0.5175","1.0","0.68204","0.57009","0.46392","1.0","0.6338","0.6934794999999999","1.3452475000000282e-07"
"5","7","0.01","0.0001","0.51719","0.0","0.0","0.0","0.51996","0.0","0.0","0.0","0.6940129999999999","2.192010000000122e-07"
"5","7","0.001","0.0001","0.55332","0.43042","0.58366","0.49546","0.62963","0.5098","0.60465","0.55319","0.693333","1.5673100000000813e-07"
"5","7","0.0001","0.0001","0.67333","0.64583","0.65635","0.65105","0.62294","0.46154","0.10909","0.17647","0.6709005","7.203370475e-05"
"5","7","1e-05","0.0001","0.54449","0.0","0.0","0.0","0.57965","0.0","0.0","0.0","0.6949400000000001","3.6348999999999596e-07"
