"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"10","20","0.001","1e-07","0.99533","0.98276","0.99346","0.98808","0.67719","0.69388","0.59649","0.64151","0.0618065","0.0012558080227500002"
"10","20","1e-05","1e-07","0.5968","0.63492","0.26144","0.37037","0.58527","0.61538","0.37209","0.46377","0.6924365000000001","1.8702749999998165e-08"
"10","20","0.0001","1e-07","0.76922","0.60563","0.72727","0.6609","0.7017","0.7027","0.52","0.5977","0.580058","2.8640365999999988e-05"
"10","20","0.1","1e-08","0.54358","0.38312","0.54005","0.44824","0.68116","0.59615","0.67391","0.63265","0.7076509999999999","9.896215899999972e-05"
"10","20","1e-05","1e-07","0.58164","0.0","0.0","0.0","0.64365","0.0","0.0","0.0","0.693088","1.657859999999985e-07"
"10","20","0.01","1e-08","0.96674","0.91269","0.88217","0.89717","0.70198","0.7037","0.7037","0.7037","0.268335","0.001158890755"
"10","20","0.1","1e-08","0.52631","0.46795","0.52995","0.49702","0.52997","0.49315","0.75","0.59504","0.745554","0.001977281414"
"10","20","0.001","1e-08","0.99697","0.99518","0.98882","0.99199","0.63248","0.60784","0.59615","0.60194","0.06947400000000001","0.0010548690540000002"
"10","20","0.01","1e-08","0.9908","0.96866","0.95022","0.95935","0.64744","0.56863","0.64444","0.60417","0.220659","0.004516663849000001"
"10","20","0.0001","1e-08","0.76969","0.78982","0.68034","0.731","0.6233","0.625","0.20833","0.3125","0.595404","2.1241893999999974e-05"
"10","20","0.001","1e-08","0.99881","0.98407","0.99463","0.98932","0.66364","0.52083","0.59524","0.55556","0.0709095","0.0009966679647499996"
"10","20","1e-05","1e-08","0.52876","0.52723","0.34135","0.4144","0.56306","0.69048","0.48333","0.56863","0.693056","1.8963999999999024e-08"
"10","20","0.0001","1e-08","0.7246","0.64818","0.7113","0.67828","0.63377","0.50909","0.66667","0.57732","0.6242295","2.380378475000003e-05"
"15","10","0.1","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6998815","2.502102749999984e-06"
