"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"5","3","0.001","1e-06","0.79152","0.81079","0.8639","0.8365","0.79176","0.79798","0.80612","0.80203","0.512041","0.0026589287189999994"
"5","3","0.0001","1e-06","0.76576","0.7287","0.8784","0.79658","0.78357","0.71774","0.88119","0.79111","0.5801784999999999","0.0016530715727500003"
"5","3","1e-05","1e-06","0.74612","0.67348","0.89098","0.76711","0.77929","0.73451","0.83838","0.78302","0.6275079999999998","0.0009835415360000001"
"5","3","0.1","1e-07","0.72892","0.55331","1.0","0.71243","0.74236","0.44693","1.0","0.61776","0.5973430000000001","0.00012751960099999986"
"5","3","0.01","1e-07","0.78389","0.77032","0.8796","0.82134","0.77905","0.80682","0.77174","0.78889","0.5504914999999999","0.0010075325127500004"
"5","3","0.001","1e-07","0.80934","0.75183","0.89258","0.81618","0.79897","0.75424","0.85577","0.8018","0.5170779999999999","0.0013584435860000005"
"5","3","0.0001","1e-07","0.77071","0.68472","0.92319","0.78627","0.77645","0.76852","0.79048","0.77934","0.5869015","0.0006179519527499998"
"5","3","1e-05","1e-07","0.72246","0.0","0.0","0.0","0.75237","0.0","0.0","0.0","0.7204525","0.00014287903875000022"
"5","3","0.1","1e-08","0.71211","0.0","0.0","0.0","0.75152","0.0","0.0","0.0","0.5974269999999999","0.00012028690099999998"
"5","3","0.01","1e-08","0.81021","0.76698","0.90217","0.8291","0.79204","0.74699","0.74699","0.74699","0.528411","0.002734788429"
"5","3","0.001","1e-08","0.79922","0.74474","0.88813","0.81014","0.76173","0.73643","0.87156","0.79832","0.5270775","0.00221200966875"
"5","3","0.0001","1e-08","0.76757","0.699","0.91321","0.79187","0.75189","0.72807","0.83838","0.77934","0.558824","0.0001893454240000001"
"5","3","1e-05","1e-08","0.70129","0.53139","1.0","0.694","0.76407","0.51955","1.0","0.68382","0.6515074999999999","0.00204252645875"
"5","5","0.1","0.001","0.67504","0.0","0.0","0.0","0.76367","0.0","0.0","0.0","0.6028239999999998","0.000111728054"
